school_name,school_type,address,homepage
용문고등학교,고등학교,서울특별시 성북구 고려대로17가길 46,http://www.ymoon.hs.kr/
용산고등학교,고등학교,서울특별시 용산구 두텁바위로 60,http://yongsan.sen.hs.kr
용산철도고등학교,고등학교,서울특별시 용산구 서빙고로 24,https://yongsan-th.sen.hs.kr
용화여자고등학교,고등학교,서울특별시 노원구 동일로 1461,http://www.yonghwa.hs.kr/
우신고등학교,고등학교,서울특별시 구로구 부일로 917,http://wooshin.sen.hs.kr
원묵고등학교,고등학교,서울특별시 중랑구 숙선옹주로 82,http://wonmook.hs.kr
월계고등학교,고등학교,서울특별시 노원구 초안산로5길 66,http://wg.hs.kr
유한공업고등학교,고등학교,서울특별시 구로구 경인로 8,http://yuhan.sen.hs.kr
은광여자고등학교,고등학교,서울특별시 강남구 남부순환로359길 36,http://www.eunkwang.hs.kr
은평고등학교,고등학교,서울특별시 은평구 갈현로15길 47,http://ep.sen.hs.kr
은평메디텍고등학교,고등학교,서울특별시 은평구 진관2로 57-57,http://www.eunpyeong.hs.kr
이화여자고등학교,고등학교,서울특별시 중구 정동길,http://www.ewha.hs.kr
이화여자대학교병설미디어고등학교,고등학교,서울특별시 중랑구 망우로73길 56,https://ewhamedia.sen.hs.kr
이화여자대학교사범대학부속이화금란고등학교,고등학교,서울특별시 서대문구 성산로 560,http://edaebugo.sen.hs.kr
이화여자외국어고등학교,고등학교,서울특별시 중구 통일로4길 30,http://www.ewha-gfh.hs.kr
인덕과학기술고등학교,고등학교,서울특별시 노원구 초안산로 12,http://induk.sen.hs.kr
인창고등학교,고등학교,서울특별시 서대문구 경기대로 65,http://www.inchang.ne.kr
인헌고등학교,고등학교,서울특별시 관악구 인헌9길 74,inhun.sen.hs.kr
일신여자상업고등학교,고등학교,서울특별시 송파구 송파대로38길 8,http://ilshin.sen.hs.kr
자양고등학교,고등학교,서울특별시 광진구 뚝섬로37길 28,http://jayang.sen.hs.kr
자운고등학교,고등학교,서울특별시 도봉구 노해로69길 150,http://jawoon.sen.hs.kr
잠신고등학교,고등학교,서울특별시 송파구 잠실로 24,http://jamsin.sen.hs.kr
잠실고등학교,고등학교,서울특별시 송파구 올림픽로33길 71,http://jamsil.sen.hs.kr
잠실여자고등학교,고등학교,서울특별시 송파구 송파대로38길 8,http://www.jamsilg.hs.kr
잠일고등학교,고등학교,서울특별시 송파구 백제고분로 21,http://jamil.sen.hs.kr
장충고등학교,고등학교,서울특별시 중구 동호로15길 93,http://www.jangchung.hs.kr
장훈고등학교,고등학교,서울특별시 영등포구 영등포로64길 26,http://www.janghoon.hs.kr
재현고등학교,고등학교,서울특별시 노원구 덕릉로82길 64,http://jaehyun.sen.hs.kr
